news,true_labels
"Timnas Indonesia U-23 kalah tipis 2-3 dari Australia pada laga pertama Grup G Kualifikasi Piala Asia U-23 2022, Selasa (26/10). Sedikitnya ada tiga pemain terbaik di laga ini.Australia unggul dua gol lebih dulu melalui March Tokich (52') dan Patrick Wood (58') sebelum tendangan terukur Witan Sulaeman (68') mengubah skor jadi 1-2.Gawang Ernando Ari Sutaryadi kembali jebol pada menit ke-76 lewat aksi individu Jacob Italiano. Akan tetapi Taufik Hidayat mampu memperkecil kedudukan lewat tembakan jarak dekat di menit ke-84.Baca artikel CNN Indonesia ""3 Pemain Terbaik Timnas Indonesia U-23 Saat Kalah dari Australia"" selengkapnya di sini: https://www.cnnindonesia.com/olahraga/20211026203849-142-712758/3-pemain-terbaik-timnas-indonesia-u-23-saat-kalah-dari-australia.",1
"Sebagian wanita mungkin mengalami rambut rontok setelah melahirkan karena kadar hormon yang naik turun. Berikut cara mengatasi rambut rontok setelah melahirkan.Wanita hamil mengalami peningkatan kadar progesteron dan penurunan kadar estrogen, menyebabkan rambut mulai jatuh ke tahap istirahat terlalu dini.Setelah melahirkan, rambut baru mulai tumbuh, menyebabkan rambut yang berada dalam fase istirahat menjadi rontok.Ini biasanya terjadi antara tiga dan enam bulan setelah melahirkan, dan kebanyakan wanita mencapai pola pertumbuhan rambut normal.Selama kehamilan, rambut berada dalam tahap pertumbuhan dan tahap kerontokan melambat. Rambut bisa menjadi lemas atau keriting dan kering, ini normal karena perubahan hormonal, kerontokan bisa dua kali lipat dibandingkan dengan normal.Pasca-melahirkan, kadar hormon kembali normal dan siklus rambut normal dilanjutkan.",1
"Seorang sumber dari jajaran militer Sudan menyebut bahwa Perdana Menteri Sudan Abdalla Hamdok sudah dipulangkan ke rumahnya.Hamdok yang baru saja digulingkan dan diamankan, kini telah diantar kembali ke kediamannya di distrik Kafouri.""Perdana menteri ... telah diantar kembali ke rumahnya sendiri di distrik Kafouri dan langkah-langkah keamanan telah dilakukan di sekeliling rumahnya,"" ujar sumber tersebut pada AFP.Rusuh Imbas Kudeta Militer, Sudan Tutup PenerbanganSebelumnya Hamdok diketahui berada di rumah panglima militer sekaligus pemimpin kudeta Abdel Fattah al-Burhan. Ia pun membenarkan kabar tersiar tersebut.""Di rumah saya ... (dan) dalam keadaan sehat"". ucap Abdel Fattah, Selasa (26/10).Sebelumnya, rumah Perdana Menteri SudanAbdalla Hamdok di Ibu Kota Khartoum dilaporkan telah dikepung militerpada Senin (25/10), setelah sejumlah pejabat negara ditahan kelompok tak dikenal dalam upaya kudeta.Sedikitnya tiga orang dilaporkan tewas ditembak oleh angkatan bersenjata selama aksi protes menentang kudeta militer di Sudan.Mereka juga mecatat setidaknya 80 orang terluka saat bentrok dengan angkatan bersenjata.Selain itu, Sudan juga menutup akses penerbangan keluar dan masuk karena situasi negara yang belum kondusif usai militer Sudan mengambil alih komando dari PM Abdalla Hamdok.",0
"Mama Rosa kembali menerima teror berupa sebuah bingkisan yang diantarkan seseorang dan diberikan kepada Kiki.Ketika dibuka dihadapan Mama Rosa dan Irvan, ternyata berisi telur busuk dan foto keluarga Alfahri dengan nada ancaman.Mama Rosa kembali syok dan heran dengan teror yang masih saja menimpa dirinya.Padahal dalang dari semua teror yang ditujukan kepada keluarga Alfahri persis berdiri di sebelah Mama Rosa, dia adalah Om dari Andin, Irvan.Irvan sangat sakit hati begitu mengetahui pengakuan dari Denis. Atas perintah Mama Rosa, Denis diminta merudapaksa Jessica, putri semata wayang Irvan yang kala itu sudah bertunangan dengan Rendi.Kejadian pilu tersebut menyisakan nestapa tak berujung, hingga menyebabkan Jessica mengalami gangguan psikis.Inilah yang menjadi alasan kuat Irvan melakukan balas dendam kepada Mama Rosa yang disebut Denis sebagai orang yang memerintahkannya melakukan perbuatan keji tersebut.Lalu jika benar Mama Rosa yang menyuruh Denis, apa sebenarnya dosa Jessica kepada Mama Rosa.Apakah semua ini bermuara kepada Hartawan, suami Mama Rosa yang konon ada hubungan istimewa dengan Jessica selaku sekretaris pribadinya ?Ikuti kisah Sinetron Ikatan Cinta selanjutnya di RCTI malam ini.",0
"Pembelajaran tatap muka di SMKN 1 Sedayu, Bantul terpaksa dihentikan karena sejumlah siswa dan guru terpapar Covid-19.Tercatat, ada enam siswa dan satu guru yang dinyatakan positif mengidap virus corona. Sebelumnya, proses pembelajaran tatap muka atau PTM di SD Sukoharjo, Argorejo, Sedayu, Bantul juga dihentikan karena ada delapan siswa yang positif Covid-19. Panewu Sedayu, Lukas Sumanasa menjelaskan, terungkapnya kasus Covid-19 enam siswa dan seorang guru tersebut adalah berdasar hasil swab kontak erat salah satu dari delapan siswa SD Sukoharjo, Kalurahan Argorejo, Kapanewon yang sebelumnya dinyatakan positif Covid-19. Dari delapan siswa dilakukan tracing kontak erat ke 30 orang. Setelah dilakukan swab PCR, hasilnya tiga dinyatakan positif. Dari tiga orang tersebutm salah satunya siswa SMKN 1 Sedayu. ""Jadi salah satu siswa SD yang positif dilakukan tracing kontak erat yang hasilnya kakaknya yang sekolah di SMKN 1 Sedayu positif,"" ungkapnya Rabu (27/10/2021).Dari sana, petugas terus melakukan tracing di lingkup SMKN 1 Sedayu hingga akhirnya ditemukan lima siswa lain di SMKN 1 Sedayu serta satu guru yang positif Covid-19.",0
"Kawasan Malioboro Kota Yogyakarta terus konsisten menjadi magnet bagi wisatawan hingga sekarang.Meski kini masih dalam kondisi pandemi Covid-19, para penjual souvenir, pedagang kaki lima, hingga penjual aneka jenis kuliner tetap semangat untuk terus bertahan hidup di kawasan itu.Salah satu yang terlihat adalah perempuan bernama Siti, asal Madura yang sudah 10 tahun ini berjualan sate ayam Madura di sekitaran Malioboro.Menurut Siti ada sekitar 20 orang Madura yang kini konsisten berjualan sate ayam di kawasan favorit Kota Yogyakarta itu.Mayoritas dari mereka adalah perempuan, dengan ciri khas saat berjualan sate, ibu-ibu itu mengenakan kerudung dengan gaya bahasa asli Madura.""Ada sekitar 20 orang di sini. Ya rata-rata sudah puluhan tahun,"" katanya, saat dijumpai, Rabu (27/10/2021).Untuk satu porsi sate berisi 10 tusuk lengkap dengan bumbu kacang dan tambahan lontong dihargai Rp 15 ribu.Penyajiannya pun tak butuh waktu lama karena kurang dari tiga menit sate ayam hangat dengan bumbu kacang itu siap disantap.Aroma sedap dari daging ayam yang baru diangkat dari bara api itu sangat menggugah selera.Bumbu kacang yang dihaluskan dan dicampur dengan kentalnya kecap, membuat mulut terasa basah karena ingin segera menyantapnya.",2
"Penyintas Covid-19 bisa saja mengalami keluhan berkepanjangan pasca terinfeksi virus Sars-CoV-2 tersebut. Keluhan itu biasanya disebut sebagai long Covid-19.Dokter Spesialis Paru Rumah Sakit Akademik Universitas Gadjah Mada (UGM), dr Siswanto SpP menerangkan, kondisi tersebut biasanya ditemui pasien dengan derajat keparahan sedang, berat dan kritis.Pasien dengan komorbid juga bisa mengalami long Covid-19 dan tidak menutup kemungkinan terjadi pada pasien dengan kategori ringan.�Yang paling berisiko adalah penderita diabetes melitus, gagal jantung, hipertensi, penyakit metabolik, dan penyakit paru kronik. Selain itu, yang membawa risiko juga adalah penyakit koinsiden, misalnya saat terkena Covid-19 bersamaan juga dengan terkena Tuberkulosis (TB) atau komplikasi lainnya,� terangnya, Rabu (27/10/2021).Menurut Siswanto, penyintas Covid-19 perlu memantau gejala atau keluhan yang terjadi hingga 12 minggu sejak onset atau munculnya gejala pertama.Pasien yang mendapat perawatan di rumah sakit disarankan untuk melakukan kontrol satu hingga dua minggu setelah keluar dari rumah sakit.Selanjutnya, kontrol dilakukan kembali pada minggu keenam atau kedelapan sejak onset.�Bagi yang ke rumah sakit biasanya kami akan menghitungkan saat ini berada di posisi berapa minggu setelah onset dan kapan sebaiknya datang kembali untuk kontrol,� ungkapnya.Setelah 12 minggu, pasien bisa dipastikan sudah sembuh secara sempurna atau belum dilihat dari ada atau tidaknya gejala atau kelainan secara radiologis maupun hasil laboratorium.",0
"Isu terkait Garuda Indonesia yang akan digantikan oleh Pelita Air mencuat dalam beberapa waktu terakhir.PT Pelita Air Service sendiri merupakan maskapai milik PT Pertamina (Persero).Hal itu tak lepas dari kabar yang menyebut bahwa Garuda Indonesia saat ini tengah mengalami krisis finansial.Bahkan, PT Garuda Indonesia juga disebut-sebut terlilit utang dalam jumlah yang besar.Direktur Utama PT Garuda Indonesia (Persero) Tbk, Irfan Setiaputra, akhirnya buka suara terkait isu tersebut.Ia mengakui, pemerintah tengah menyiapkan Pelita Air untuk masuk ke penerbangan berjadwal, setelah selama ini fokus melayani penerbangan carter.Namun, hal itu bukan berarti ada rencana untuk memailitkan Garuda Indonesia dan menggantinya dengan maskapai lain.Pesawat Garuda Indonesia menggunakan masker ((dok. Instagram @garuda.indonesia))Irfan menjelaskan, Garuda Indonesia memang tengah menghadapi situasi sulit karena menumpuknya utang.Oleh sebab itu, dilakukan restrukturisasi utang dan restrukturisasi operasional untuk kembali menyehatkan perusahaan.Restrukturisasi itu pun terus diupayakan manajemen dan pemerintah sebagai pemegang saham untuk berhasil dilakukan, sehingga bisa menyelamatkan Garuda Indonesia.",0
"Polemik Koperasi Simpan Pinjam Sejahtera Bersama (KSP-SB) dengan para nasabahnya, terus bergulir dan belum menemui titik temu. Para nasabah menuntut pengembalian uang simpanan mereka. Jumlahnya tidak main-main. Dari 5 kantor cabang yang beroperasi di DIY dan Magelang, ada sekitar 10 ribu nasabah, dengan akumulasi total nilai simpanan mencapai Rp 800 miliar rupiah. ""Ada sekitar 10 ribu anggota. Total simpanan Rp 700 - Rp 800 miliar. Hingga kini, dana kami masih tertahan,"" kata Bernadus Waluyo, anggota sekaligus mengaku korban dari KSP-SB, saat mediasi di Pengadilan Negeri (PN) Sleman, Rabu (27/10/2021). Bernadus bercerita, koperasi simpan pinjam sejahtera bersama yang berkantor pusat di Bogor, Jawa Barat ini mengalami gagal bayar sejak April 2020 dengan alasan terdampak pandemi Covid-19. Akibatnya, koperasi tidak bisa membayar semua produk simpanan nasabah. Baik tabungan maupun deposito berjangka. Sekitar 10 ribu nasabah di DIY dengan akumulasi simpanan Rp 700 - 800 miliar sejak saat itu tidak bisa mencairkan uang simpanan.Angka ini jauh lebih tinggi jika dihitung nasabah secara nasional yang mencapai 180 ribu orang dengan total simpanan Rp 8.6 triliun. ""Kami tidak bisa mencairkan. Bahkan sedikitpun tidak bisa,"" katanya.Dari gejolak itu kemudian berlarut-larut hingga kini. Bernadus mengaku awalnya sebagai karyawan marketing di koperasi tersebut, kemudian dipecat. Ia juga tercatat sebagai nasabah. Ia bersama rekan-rekannya telah mengupayakan pelbagai cara dengan harapan agar uang simpanan bisa dicairkan. Bahkan, pernah berusaha dengan mendatangi kantor pusat namun hasilnya nihil.""Kami minta agar ada kejelasan,"" katanya.",0
"Listrik menjadi kebutuhan prioritas masyarakat untuk melakukan banyak hal di kala pandemi ini, termasuk untuk berproduksi dan meningkatkan perekonomian.Perusahaan Listrik Negara (PLN) berkomitmen untuk terus melakukan program Electrifying Agriculture di DI Yogyakarta, guna meningkatkan produktivitas usaha para petani.�Ini sama dengan program listrikisasi, yang sebenarnya didesain tidak hanya untuk bidang pertanian, tapi juga perkebunan, perikanan dan sektor agrikultur lainnya. Ini bisa menciptakan efisiensi dalam waktu maupun biaya,� ungkap Eko Sulistyo, Komisaris PT PLN (Persero) dalam webinar �Program Electrifying Agriculture dalam Meningkatkan Produktivitas Usaha�, yang ditayangkan di Youtube Tribun Jogja Official, Senin (25/10/2021).Eko menjelaskan, adanya program listrikisasi ini juga merupakan cara PLN untuk menekan dekarbonisasi yang saat ini sedang menjadi isu global. Pihaknya mengajak masyarakat DIY untuk ikut beralih dari penggunaan diesel atau solar menuju listrik.""Sampai saat ini, listrik memang masih pakai batu bara sebagai bahan bakar. Tetapi, paling tidak, transformasi ini adalah jembatan yang penting agar petani bisa beralih dari solar ke listrik,� paparnya.Eko mengutip sejumlah testimoni dari para petani yang sudah kecipratan pemanfaatan listrik di area pertanian mereka. Dia menjelaskan, petani bisa menghemat sekitar 80 persen biaya dan waktu. Artinya, listrik menjadi salah satu hal pokok yang membantu mereka berproduksi dan menghasilkan tambahan perekonomian.�Program Electrifying Agriculture ini memberikan peluang untuk kalangan milenial agar mereka melihat sektor pertanian ini juga bisa dikembangan. Listrik menjembatani pemikiran itu, sehingga banyak anak muda yang mau menjadi petani atau fokus di bidang pertanian,� tuturnya.Lebih lanjut, Eko mengatakan, kehadiran listrik di masyarakat bisa memberikan efek domino lantaran segala teknologi yang canggih harus dialiri listrik. Maka, generasi milenial yang bisa masuk ke sektor pertanian memiliki lebih banyak pilihan pekerjaan, termasuk di antaranya mengembangkan perusahaan rintisan maupun memasarkan produk lewat marketplace.M Irwansyah Putra, General Manager PT PLN (Persero) Unit Induk Distribusi Jateng dan DIY menambahkan, daya listrik di Yogyakarta tidak perlu diragukan lagi. Ia merinci, DIY memiliki daya mampu 1.560 MW, beban puncak 448 MW dan cadangan hingga 1.112 MW.Artinya, PLN memiliki cadangan lebih dari 100 persen kebutuhan kelistrikan di DIY. Ia berharap, listrikisasi bisa meningkatkan penghidupan yang lebih baik untuk masyarakat.",2
